hash,uid,status
1000c99c,97169120,ok
10016a1,,missing
1001a828,81765000,ok
10045681,,missing
10073053,9206339,ok
100ac026,201022,ok
100ae1f5,7172681,ok
100b18bb,,missing
100b2e95,19030163,ok
100d9330,,missing
100ed6e7,20464655,ok
100f3db7,,missing
10101981,2420026,ok
1010fc95,13324331,ok
101371a6,2274393,ok
101570e4,,missing
101738d1,,missing
1018d4c2,,missing
101ac92d,35832208,ok
101d6837,,missing
101e006b,29148547,ok
101f2b58,,missing
101f47ba,50208645,ok
10207fe5,17379656,ok
1022b420,14284845,ok
10235819,,missing
1025e075,,missing
10269c35,7234857,ok
10270c76,15067031,ok
10270e67,8920136,ok
1027e81d,,missing
102ba1,,missing
102d2eb1,,missing
102e4fa3,13550037,ok
1032aa57,,missing
10353ac8,3350694,ok
1035a81c,15165375,ok
103668b1,,missing
1036f35e,,missing
103779d1,90110979,ok
10379ef5,,missing
1037aedb,,missing
1037b0bb,3182767,ok
1037b4ff,27555347,ok
103c0f19,15111659,ok
103dee5d,,missing
103f8ed7,2454353,ok
1041b8c2,,missing
104668e8,6963605,ok
104729b6,,missing
104936ca,,missing
104c9662,3004618,ok
104d4d95,,missing
104f6ce5,,missing
1050bb3a,,missing
1054073c,,missing
10585191,,missing
105b1779,,missing
105b98bf,,missing
105cd551,,missing
105f7a71,,missing
105fe3b,,missing
1060a824,,missing
10617be,,missing
1062d9ec,30521680,ok
1064d04a,8778212,ok
10653595,,missing
1067c3a7,,missing
106b5f,33211733,ok
106bd213,,missing
106cd443,,missing
106fc0bd,,missing
10702cc3,5908841,ok
1070badb,25430710,ok
1071c263,,missing
1073a416,,missing
1073ce9e,,missing
1074217a,,missing
10753749,,missing
10755a2c,,missing
107565f5,,missing
10763bf1,81599317,ok
107b0b26,58816864,ok
107b452f,66935665,ok
107ba29,,missing
107c6b23,37317366,ok
107c9f93,383442,ok
107f5d76,,missing
107fc051,,missing
1080ba6c,530328,ok
1081c75b,8696019,ok
1082487b,34633982,ok
10826a71,,missing
10838be,18049237,ok
1083b12a,,missing
1083ff65,1402396,ok
10840749,,missing
108a4d9f,6818798,ok
108c2db3,19705776,ok
108c62a,34448814,ok
108e4159,,missing
1091216c,,missing
10922f3b,22734177,ok
1092397c,,missing
10929e2c,19291501,ok
10939545,,missing
1093d91d,388135,ok
10949028,,missing
10951813,3121156,ok
10955f94,,missing
1095ce0b,,missing
109612d2,17716298,ok
10966d71,7725096,ok
109817ed,,missing
1099f5a0,,missing
109a6f52,,missing
109a922c,,missing
109b47fe,,missing
109cf64d,87188347,ok
109d50ef,2264405,ok
109dea1d,9572005,ok
109e30ab,15132348,ok
10a057e1,16768865,ok
10a16e20,4613576,ok
10a66282,26349747,ok
10a7905,44011379,ok
10ab094f,,missing
10abc1bf,38212985,ok
10ac3cd7,,missing
10ac6d72,,missing
10acf57c,,missing
10ae96aa,,missing
10af4434,,missing
10afdec0,486595,ok
10b08c03,28162629,ok
10b3ad9e,,missing
10b4cc6e,,missing
10b817c,30717316,ok
10b91caa,12127999,ok
10bb2e4f,,missing
10bb7a3b,5152087,ok
10bdb54,27355075,ok
10bdba35,,missing
10be9235,29304651,ok
10bf2173,98565218,ok
10bfc7ac,13154476,ok
10bfcdee,,missing
10c34edb,,missing
10c674c9,,missing
10c67949,,missing
10c88a0a,,missing
10c8e479,,missing
10c94a04,,missing
10cbfdde,,missing
10d14c7b,,missing
10d2abdb,,missing
10d5e08b,,missing
10d6228,,missing
10d648ea,,missing
10d67e8,41359,ok
10d775ea,,missing
10dd5d14,38488604,ok
10ddf712,,missing
10de13b1,82547423,ok
10e08381,,missing
10e0bda8,,missing
10e0ec7,,missing
10e0f311,,missing
10e150a0,1620572,ok
10e45491,25628199,ok
10e5836a,,missing
10e89fa1,4252909,ok
10ea539d,,missing
10ed696f,,missing
10ee5d25,,missing
10efe802,,missing
10f04519,,missing
10f0f2f6,13500050,ok
10f42b81,5444249,ok
10f47125,,missing
10f56280,,missing
10f796cc,,missing
10f89a0c,,missing
10f8e63d,9492851,ok
10f92039,21604211,ok
10fd9ab5,99005615,ok
10fe9199,,missing
110276b8,,missing
110466d,,missing
1108491a,,missing
1108f87b,17704374,ok
11097c84,,missing
110bb9cb,,missing
110e0f0b,,missing
110e90a2,86811904,ok
110fe384,44075930,ok
1111485,,missing
11117807,31854687,ok
1113509a,2489606,ok
11140c0f,73436041,ok
1115062e,,missing
11157d97,,missing
11171674,,missing
1117ce3b,,missing
111bc1ae,2104350,ok
111efada,,missing
111f3e9c,31037782,ok
11211905,,missing
1123eff9,,missing
112414bf,,missing
112521f,1585925,ok
112645c9,3916827,ok
1128890f,37917049,ok
1129414,28743921,ok
112af65c,36974065,ok
112ce072,2068501,ok
112d3104,,missing
112dbf5f,5182895,ok
112e093d,,missing
112e54ba,,missing
112ec0d9,,missing
1131c210,,missing
1131e238,,missing
1132ab34,5972884,ok
1133fd2f,13556352,ok
1134bde4,45950106,ok
11354719,,missing
1138548d,,missing
1139bdd2,24536683,ok
113abb2b,20417876,ok
113e9622,,missing
113ee19c,,missing
1144d9b,,missing
1144e67c,,missing
1145066a,,missing
1145a00f,,missing
11467587,35654307,ok
11477867,,missing
1147895f,22558987,ok
1148335c,,missing
114990b2,23509346,ok
114c0545,,missing
114c123a,36827179,ok
114cc816,,missing
114cd4e8,10538467,ok
114ebdc1,10278338,ok
1154c265,,missing
1154f94e,,missing
11561493,10868681,ok
11576603,11537875,ok
11586a96,4282742,ok
1158eaa6,2683480,ok
115915a8,25496950,ok
1159e978,2416481,ok
1159f8bd,,missing
115a01b3,11411672,ok
115a0bf9,43870792,ok
115a1b7c,13490781,ok
115b28c4,,missing
115b7c0,86893946,ok
115cc82f,,missing
115ccc38,,missing
115cd14f,3012608,ok
115d682d,36751460,ok
115dd34a,,missing
115fdb52,2477742,ok
115ff27d,,missing
116135d3,,missing
1161d687,82059565,ok
116668bc,,missing
11688a89,7822260,ok
116928d,,missing
1169c8de,,missing
116a26e0,,missing
116bb03f,,missing
116c0f9e,37820155,ok
116e0d66,38066867,ok
1171b2a,,missing
11743307,,missing
11749826,,missing
1178d99e,,missing
11795fd8,34582119,ok
1179a750,97152295,ok
117bd956,32345542,ok
1182bf86,62866088,ok
1184515a,,missing
118611d0,86956023,ok
118760e1,62902451,ok
1187eae7,,missing
11884dcf,2447463,ok
1188fc04,37555024,ok
11895bf0,37831242,ok
1189e54c,,missing
1189ec5e,,missing
118b1a25,4977339,ok
118b28d1,13441443,ok
118d2bdc,35361281,ok
118e43,12699375,ok
118f13ac,2335767,ok
118f66a2,37708278,ok
118fa62a,,missing
11911230,35427105,ok
119157c4,,missing
11921651,34530833,ok
1192234c,,missing
119267a9,44073908,ok
1193b6f1,17265369,ok
1193e389,,missing
11949617,66462784,ok
11953861,,missing
11970a95,,missing
1197e4c6,36038989,ok
1199b5f6,,missing
119ac23d,,missing
119c0b01,,missing
119d89f8,,missing
11a199b,,missing
11a308d1,11204009,ok
11a82b3e,,missing
11aba3e4,,missing
11ac4d81,,missing
11af04ec,,missing
11b03458,39623201,ok
11b09e53,,missing
11b0b5cb,,missing
11b0b994,23196870,ok
11b2caf9,12171293,ok
11b40251,26939606,ok
11b4b9f6,30006209,ok
11b4bae7,344926,ok
11b4fc4f,,missing
11b6f19f,,missing
11b7b0bf,,missing
11b81d12,,missing
11ba3499,,missing
11bd5d0,,missing
11bfa7bc,,missing
