hash,xml_count,danmu_count
234ed9d0,17,3303
319eb4ce,17,2107
a335aed6,17,1506
228f7f86,17,1285
2bd51793,17,1116
ccf35694,17,804
264842b4,17,680
e6b100cf,17,638
bd7e9b7a,17,616
966dd858,17,610
21954dfa,17,492
d5c9d606,17,452
5d36dffc,17,385
e769d811,17,385
6f02e2e7,17,376
476c67e1,17,277
b208563a,17,233
7ba6f1b8,17,215
8429f31f,17,193
cef3200d,17,168
165cf468,17,126
67ebea14,17,98
b167097,17,89
9a127ba6,16,3394
c0d8d1f9,16,1594
6e0ff1d3,16,1391
c373b679,16,1364
fb93a885,16,1094
2c2a5d14,16,970
71c6e8fc,16,820
ae2810d1,16,774
b39c3815,16,770
b4001718,16,750
341414cb,16,646
92ea969a,16,640
c32dd305,16,635
dba1b251,16,609
2faf3410,16,593
7948643f,16,535
739b1f15,16,505
baf61884,16,490
4af06e4,16,480
bf536790,16,474
679d3fc2,16,461
4e03ba02,16,404
841a4d7b,16,402
ef65ede2,16,381
c707677d,16,373
80c0d192,16,364
ea4fe08b,16,346
2ac8cf33,16,334
7feb60d5,16,303
39258754,16,301
d448f6d5,16,287
1159f8bd,16,282
d807612,16,279
f3c4ec81,16,266
422e7104,16,252
4deaee53,16,248
7b2da570,16,246
a75e7462,16,236
42f59219,16,232
24f6bc1d,16,228
98fd8341,16,227
630a2873,16,200
710942d6,16,197
ccf007b9,16,193
9b2c96e0,16,192
c6d99349,16,176
37d25901,16,164
11b81d12,16,152
e7bdeb7,16,146
523858d5,16,143
9c903048,16,140
429bff48,16,117
e8e2006d,16,111
a72d079e,16,104
6e99f811,16,77
823ca24d,16,69
f1346274,16,62
14dcef24,16,59
ad543284,16,47
63e3d786,15,1089
4d8d4095,15,990
c26ae4ea,15,885
8492fd9c,15,824
606955f6,15,746
4bfa04a1,15,661
70cdba2b,15,599
a6b79679,15,592
b61f3df1,15,572
1b788920,15,571
1e751ee9,15,537
4385084,15,503
484320ad,15,449
8cd89bb8,15,445
3edb53ee,15,418
e3047c8,15,392
5de29fd9,15,378
b5ef38d2,15,343
27e60a7b,15,331
3a87ca0f,15,316
2014e652,15,304
e9bac790,15,302
c491caec,15,301
35088e0c,15,286
26d675d9,15,268
ee917a7a,15,267
7b567f92,15,264
2e50f5b,15,263
78832a1f,15,261
f77bc28a,15,261
1027e81d,15,257
3f357274,15,256
fd7cc889,15,250
49c74a68,15,245
dd6fe738,15,242
de080726,15,221
d01fde50,15,212
b2277b21,15,208
7853dae,15,206
9bd4e3d1,15,206
b4a53d83,15,206
49dedf3,15,205
9a2097d0,15,193
810863aa,15,192
cb604105,15,189
