uid,xml_count,danmu_count
303151,39,3050
259422,39,2635
2661552,39,2454
33998048,39,1878
1318097,39,1848
19400882,39,1745
584221,39,1688
940628,39,1219
11775347,39,858
17498181,39,738
35877025,38,2122
35080575,38,1538
296560,38,600
20932,38,230
258401,37,2750
36577686,37,1800
28708677,37,1400
13064242,37,1033
10997659,37,708
179825,37,358
10995767,36,2706
5321590,36,2661
28922339,36,1421
2810632,36,1145
12356968,36,1098
88521562,36,1076
89114533,36,1009
81030760,36,930
18209909,36,840
5911146,36,584
39665550,36,230
26284012,35,20399
5760408,35,2217
5122907,35,2037
20762021,35,1613
11172266,35,1420
7663163,35,1405
3486759,35,1302
98238883,35,1258
43814847,35,831
638999,35,579
39499526,35,543
44910708,35,181
15405855,35,162
32200881,34,4535
10956339,34,3650
19890967,34,2461
10252015,34,2123
12133937,34,1473
36333896,34,888
29287011,34,719
548926,34,644
31122099,34,344
61065295,34,253
403271,34,200
56525567,33,2230
8075930,33,2044
15475827,33,1683
13061006,33,895
32838304,33,816
16268539,33,759
1918911,33,746
5265249,33,647
2725252,33,587
85591250,33,583
8886776,33,416
13223402,33,361
6069718,33,361
20251745,33,350
39581301,33,350
30246040,32,1505
3874017,32,1499
2907454,32,1292
178347,32,697
26085,32,247
30792990,32,192
30923078,32,174
43223022,31,2312
19161639,31,1448
8234826,31,1137
12416994,31,1010
4099291,31,973
3286022,31,875
1529145,31,838
13711682,31,771
2789297,31,459
3994129,31,410
33611607,31,379
19820222,31,332
3454092,31,309
11008001,31,153
65675236,30,3992
87954,30,1551
13167182,30,1363
30431315,30,672
3510653,30,604
7322869,30,551
29359506,30,520
21407619,30,497
112279,30,491
571956,30,486
89952811,30,278
93721603,30,264
34594505,30,259
29207699,30,232
8713036,30,198
382666,30,158
1952236,30,90
95586,29,2307
46287734,29,1778
10721325,29,1429
16095993,29,1351
9524212,29,1148
8033513,29,421
4184587,29,380
207168,29,333
34540935,29,242
22914232,28,1727
15162268,28,1184
1955106,28,951
50009539,28,833
38944634,28,768
5614160,28,538
12763048,28,512
20650724,28,511
1299129,28,423
7783427,28,411
230973,28,304
284123,28,294
45154891,28,263
3217531,28,233
50575,28,233
15435878,28,221
1531636,28,204
10087046,28,176
519773,28,174
14952842,27,4182
8322468,27,3139
28361195,27,1298
6618851,27,744
32787117,27,511
33692925,27,475
380061,27,372
33211599,27,362
23548799,27,350
21471621,27,339
2600116,27,265
5746867,27,213
12759097,27,165
40672450,27,136
26787701,27,102
28263476,26,511
3414276,26,473
436132,26,420
25336366,26,402
10283338,26,310
10326241,26,262
8780848,26,251
64707,26,239
8150226,26,231
4184924,26,216
21675837,26,192
55810643,26,149
15764592,26,86
111809,26,82
29054101,25,3670
10130565,25,2044
6820949,25,688
1686129,25,463
16428604,25,461
389621,25,363
25440280,25,312
12532666,25,303
19496009,25,222
66631077,25,158
40359840,25,156
7410058,25,129
8311335,25,110
29509377,25,62
1476078,24,1531
11938539,24,1299
28503,24,620
89590752,24,582
49470739,24,558
5127152,24,449
9229792,24,314
3958884,24,300
85566549,24,281
52501204,24,247
85684590,24,215
4616225,24,169
8160539,24,167
2714777,24,159
14194566,24,114
40184319,24,94
8320253,24,75
22415032,24,54
441718,23,1207
573249,23,795
16506261,23,722
60007827,23,581
6221618,23,513
23064137,23,396
11485349,23,350
22282685,23,308
34871965,23,244
37176249,23,170
94600701,23,107
1622611,23,76
1647240,23,75
40757226,23,71
33014440,22,2603
11602705,22,1521
88564238,22,1056
161245,22,941
3760577,22,676
3853484,22,404
27544208,22,278
68000030,22,229
22263869,22,199
43927105,22,182
32207659,22,169
183779,22,161
3143583,22,159
5347426,22,121
39657447,22,119
7103981,22,108
13432617,22,106
13600070,22,95
5875787,22,64
28460416,22,60
3856427,21,2062
2305584,21,760
7696844,21,663
43108581,21,593
751838,21,501
3538000,21,372
22501948,21,320
11023115,21,300
69192610,21,279
39579262,21,140
12725913,21,138
85878381,21,135
33903319,21,134
14190781,21,109
3568209,21,109
17794016,21,103
30570,21,103
13068570,21,76
5000075,21,75
905751,21,57
15354354,21,45
8784,21,35
37074606,20,956
1523800,20,728
22439477,20,527
8180612,20,510
11687,20,483
26541040,20,432
50051634,20,407
5972884,20,379
17182306,20,354
15568183,20,319
20367172,20,279
17461888,20,248
2034479,20,238
9538201,20,237
3423219,20,191
10729499,20,187
19485656,20,183
17475105,20,133
22377627,20,115
4662670,20,111
97182435,20,104
2220524,20,97
52294261,20,97
38968164,20,93
35649111,20,82
89932795,20,68
4667651,20,58
15621752,20,56
60620238,20,44
38464753,20,22
12025196,19,1159
14074815,19,1027
20110246,19,472
39683560,19,401
13438226,19,349
99239087,19,338
2315714,19,249
22504822,19,243
19560513,19,241
29589067,19,239
29527454,19,198
20129023,19,139
38119938,19,115
26023968,19,114
90076158,19,111
16721,19,109
46662623,19,109
3131298,19,108
22870246,19,104
26990291,19,97
25714746,19,95
11708672,19,89
35911804,19,86
586181,19,84
8310688,19,83
2984697,19,82
26229859,19,75
3949659,19,71
7825127,19,69
14906879,19,59
174390,19,52
18053063,19,51
425101,19,51
12884714,19,41
35579130,19,21
51784147,18,11117
261263,18,2211
80204361,18,1070
62570916,18,1026
8548045,18,900
11229537,18,552
1556020,18,510
6722822,18,423
112799,18,414
47215484,18,390
1672881,18,360
1439652,18,284
11039833,18,256
39593937,18,254
5942498,18,242
38080968,18,231
220480,18,196
111161,18,167
15569879,18,164
34774843,18,143
15314111,18,113
59861632,18,111
57859010,18,91
21480058,18,81
304166,18,80
286896,18,78
38257573,18,71
13205905,18,68
73674638,18,67
14662004,18,62
13606645,18,60
20784212,18,60
37205339,18,55
33623091,18,52
15641488,18,47
25607806,18,42
24950011,18,30
34010095,17,994
7539571,17,356
14018635,17,303
36168635,17,267
21828745,17,228
8183854,17,228
2083685,17,215
9154799,17,146
36232228,17,126
10325491,17,124
9583589,17,116
14230599,17,114
13904453,17,113
91181045,17,106
44077357,17,98
5493374,17,95
8661378,17,95
19753351,17,82
26627428,17,74
26026866,17,65
1371176,17,64
2853713,17,59
5824027,17,59
5057116,17,46
14340997,17,45
36567260,17,42
7390377,17,30
8120022,17,28
3457313,16,2439
3856600,16,2382
35481294,16,798
65435104,16,328
4443406,16,310
2862492,16,302
32355575,16,290
66723979,16,283
34605512,16,270
14228388,16,228
14720324,16,226
2082950,16,220
20919492,16,217
405525,16,201
4964985,16,177
62529648,16,176
527554,16,163
7786667,16,139
1758971,16,134
88104670,16,134
7719038,16,117
12589999,16,114
16459989,16,106
3042474,16,106
10862113,16,92
24261845,16,87
2255245,16,83
685353,16,83
93912025,16,72
10936988,16,59
6452255,16,57
9032987,16,47
24407956,16,46
3228643,16,42
32547659,16,41
16440429,16,39
1884145,16,36
4659027,16,31
52641002,16,31
1555086,16,29
2439037,16,28
5847764,15,359
25962256,15,344
51126098,15,314
2551282,15,210
37761135,15,183
21772200,15,172
469876,15,161
22584027,15,160
12486468,15,159
6152643,15,149
66900416,15,143
2892715,15,139
265624,15,119
9105629,15,117
1993614,15,116
18272436,15,108
25185779,15,103
11730601,15,102
258253,15,101
33495542,15,97
74102693,15,96
28089436,15,94
14197404,15,87
65699417,15,83
19960356,15,82
40021278,15,82
19222572,15,79
35416611,15,77
2183558,15,74
24858490,15,70
46857914,15,68
24391214,15,66
13741246,15,64
24366880,15,59
54788097,15,58
14212613,15,57
3349634,15,57
71293405,15,55
87893010,15,54
941470,15,53
14266757,15,50
8321829,15,49
23200248,15,48
18048860,15,47
38931903,15,47
7050354,15,46
36868480,15,45
13955084,15,44
90555656,15,44
29587015,15,42
7791550,15,42
33617718,15,40
58300522,15,28
3371409,15,27
102350,15,25
2697737,15,24
34966016,15,19
22233924,15,18
14097024,15,15
328422,15,15
27318379,14,1329
19205411,14,875
12810594,14,623
35739023,14,526
39049131,14,272
14516923,14,260
26114356,14,241
1733731,14,178
5015398,14,174
7112540,14,167
8227075,14,149
11491999,14,147
38351605,14,141
14189346,14,130
13214574,14,125
2818378,14,122
5064285,14,118
51743,14,113
14881826,14,85
2367397,14,82
39495762,14,82
318511,14,80
2652540,14,78
57420857,14,73
4443203,14,66
197730,14,61
1350591,14,58
671454,14,56
30748424,14,51
5707372,14,50
92049220,14,49
29103034,14,47
10868681,14,44
18333018,14,43
3227010,14,39
1474707,14,36
28633740,14,35
282761,14,30
125184,14,29
8708006,14,29
6841681,14,28
837458,14,28
12778513,14,25
12734358,14,22
30137285,13,473
34630402,13,268
90323722,13,207
21260277,13,178
34630532,13,160
97610115,13,142
1891593,13,134
1522928,13,131
10436067,13,118
62995152,13,117
24288652,13,109
45396948,13,99
1497666,13,89
2471425,13,82
17068511,13,70
4322351,13,64
74173596,13,60
26604433,13,58
44893200,13,54
5612100,13,51
29327044,13,49
1859890,13,48
1961480,13,48
