source_live,source_session_key,source_session_name,source_session_start,source_session_start_text,cohort_user_count,window_new_user_count,source_active_user_count,window_new_user_rate,source_active_user_rate
乃琳_鸣潮,9d454ad4-81d8-56b6-8217-f6a6e1210c52,乃琳_鸣潮_1209,1765269586081,2025-12-09 16:39,1489,1489,1198,1.0,0.8046
乃琳_鸣潮,4050242e-c464-5dea-b20f-1232bf2f8f5d,乃琳_鸣潮_1210,1765357265207,2025-12-10 17:01,2097,2097,1540,1.0,0.7344
乃琳_鸣潮,dc205656-bb0f-5eeb-b8ce-afebeaa251ac,乃琳_鸣潮_1211,1765445633173,2025-12-11 17:33,1455,1455,1054,1.0,0.7244
乃琳_鸣潮,2809444a-88da-5a50-8e31-d044e7d8c123,乃琳_鸣潮_1212,1765516726081,2025-12-12 13:18,743,743,473,1.0,0.6366
乃琳_鸣潮,ef7918ae-da9e-5820-b6da-59586f829a42,乃琳_鸣潮_1213,1765643927030,2025-12-14 00:38,1922,1922,1389,1.0,0.7227
乃琳_鸣潮,854a3025-0e16-5662-ae02-e4a058634138,乃琳_鸣潮_1214,1765721772576,2025-12-14 22:16,1204,1204,835,1.0,0.6935
乃琳_鸣潮,38dd1367-d6ab-5430-988d-0a0fbc84a59f,乃琳_鸣潮_1216,1765885113008,2025-12-16 19:38,951,951,643,1.0,0.6761
乃琳_鸣潮,fae2c9d4-860f-574e-8e2b-6530f4a4d495,乃琳_鸣潮_1217,1765966926168,2025-12-17 18:22,907,907,565,1.0,0.6229
乃琳_鸣潮,e56af666-4fbc-5074-bb50-0a270e0403bd,乃琳_鸣潮_1218,1766074454281,2025-12-19 00:14,626,626,375,1.0,0.599
乃琳_鸣潮,904fa3b4-8f9a-5c55-b54c-7dd66c94d485,乃琳_鸣潮_1221,1766318061065,2025-12-21 19:54,988,988,592,1.0,0.5992
乃琳_鸣潮,c5e14dd9-65d1-5eb7-b279-8bad13290010,乃琳_鸣潮_1223,1766489305106,2025-12-23 19:28,682,682,409,1.0,0.5997
乃琳_鸣潮,1de4e434-7788-58b1-af41-698cef4e8d90,乃琳_鸣潮_1226,1766746742063,2025-12-26 18:59,693,693,413,1.0,0.596
乃琳_鸣潮,a1ee2066-f4cc-50b5-a433-89c0c7654217,乃琳_鸣潮_1228,1766930796570,2025-12-28 22:06,807,807,474,1.0,0.5874
乃琳_鸣潮,31cdb794-4c0c-53ac-8b2a-d9ea2bec6d60,乃琳_鸣潮_0103,1767446221507,2026-01-03 21:17,1437,1437,850,1.0,0.5915
乃琳_鸣潮,d3a595fa-c9af-5f8c-8fc2-5ed47c0be08b,乃琳_鸣潮_0109,1767949022263,2026-01-09 16:57,1077,1077,686,1.0,0.637
乃琳_鸣潮,cefc6f4e-0b4f-5318-9ed7-d3d59adef03f,乃琳_鸣潮_0115,1768465360622,2026-01-15 16:22,659,659,411,1.0,0.6237
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,11468,10396,9206,0.9065,0.8028
乃琳_鸣潮,062170d1-834e-41db-ae62-4266ac3c4684,乃琳_鸣潮_0130,1769745306000,2026-01-30 11:55,3403,2776,2356,0.8158,0.6923
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,3392,3031,2243,0.8936,0.6613
乃琳_鸣潮,71f176dd-55fc-4046-bebb-82f593ddbdab,乃琳_鸣潮3.0下半,1769936061000,2026-02-01 16:54,2169,1966,1310,0.9064,0.604
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,1822,1112,1073,0.6103,0.5889
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,2498,1682,1368,0.6733,0.5476
乃琳_鸣潮,7b8b5196-322b-4e96-9492-429c18641473,乃琳_鸣潮_0225,1772000601000,2026-02-25 14:23,3594,1629,2518,0.4533,0.7006
乃琳_鸣潮,006b6b9d-4773-40f5-8c21-a011a37df047,乃琳_鸣潮_0227,1772164430000,2026-02-27 11:53,2992,1608,1884,0.5374,0.6297
乃琳_鸣潮,f88aed7e-ef89-45a7-b93e-25e072d59696,乃琳_鸣潮_0301,1772337055000,2026-03-01 11:50,4492,2584,2647,0.5752,0.5893
乃琳_鸣潮,004b7e2d-b10a-4987-92b0-e47275722fe3,乃琳_鸣潮_0306,1772786993000,2026-03-06 16:49,1337,608,730,0.4547,0.546
