source_live,first_target,first_target_host,first_target_type,source_user_count,user_count,user_rate
乃琳_鸣潮,无后续非source目标,无,无,96344,57711,0.599
乃琳_鸣潮,嘉然_鸣潮,嘉然,鸣潮,96344,23550,0.2444
乃琳_鸣潮,贝拉_终末地,贝拉,终末地,96344,3571,0.0371
乃琳_鸣潮,乃琳_3D,乃琳,3D,96344,2866,0.0297
乃琳_鸣潮,乃琳_电台,乃琳,电台,96344,2169,0.0225
乃琳_鸣潮,乃琳_电影,乃琳,电影,96344,1607,0.0167
乃琳_鸣潮,贝拉_电影,贝拉,电影,96344,1569,0.0163
乃琳_鸣潮,乃琳_团播,乃琳,团播,96344,973,0.0101
乃琳_鸣潮,嘉然_团播,嘉然,团播,96344,844,0.0088
乃琳_鸣潮,贝拉_3D,贝拉,3D,96344,573,0.0059
乃琳_鸣潮,嘉然_3D,嘉然,3D,96344,312,0.0032
乃琳_鸣潮,嘉然_电台,嘉然,电台,96344,241,0.0025
乃琳_鸣潮,嘉然_电影,嘉然,电影,96344,227,0.0024
乃琳_鸣潮,贝拉_团播,贝拉,团播,96344,131,0.0014
