source_live,source_session_key,source_session_name,source_session_start,source_session_start_text,cohort_user_count,target_live,target_host,target_type,post_ge1_user_count,post_ge1_rate,post_active_ge1_user_count,post_active_ge1_rate,first_target_user_count,first_target_rate,post_d7_ge1_user_count,post_d7_ge1_rate,post_d14_ge1_user_count,post_d14_ge1_rate,post_d30_ge1_user_count,post_d30_ge1_rate
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_鸣潮,嘉然,鸣潮,10053,0.6406,8518,0.5428,9728,0.6199,0,0.0,8587,0.5472,9323,0.594
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,乃琳_电台,乃琳,电台,4578,0.2917,3586,0.2285,718,0.0457,0,0.0,0,0.0,3862,0.2461
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,乃琳_3D,乃琳,3D,3260,0.2077,2523,0.1608,167,0.0106,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,乃琳_团播,乃琳,团播,2953,0.1882,2330,0.1485,68,0.0043,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,贝拉_终末地,贝拉,终末地,2691,0.1715,2152,0.1371,250,0.0159,0,0.0,1280,0.0816,1280,0.0816
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_团播,嘉然,团播,2595,0.1653,2038,0.1299,91,0.0058,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_电台,嘉然,电台,2385,0.152,1851,0.1179,46,0.0029,0,0.0,0,0.0,1723,0.1098
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_3D,嘉然,3D,2110,0.1344,1607,0.1024,31,0.002,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_电影,嘉然,电影,1693,0.1079,1291,0.0823,29,0.0018,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,贝拉_3D,贝拉,3D,1191,0.0759,928,0.0591,15,0.001,0,0.0,0,0.0,0,0.0
