source_session_key,source_session_name,source_session_start,source_session_start_text,kg_user_count,corekg_ge5_user_count,cumulative_kg_user_count,corekg_ge5_rate_in_cohort
xml::2025.12.09 乃琳 【突击】从零开始玩鸣潮！.xml,【突击】从零开始玩鸣潮！,1765259756197,2025-12-09 13:55,5626,2765,5626,0.4915
xml::2025.12.10 乃琳 【突击】今天争取打完鸣潮1.1主线！.xml,【突击】今天争取打完鸣潮1,1765349715359,2025-12-10 14:55,6532,2593,12158,0.397
xml::2025.12.11 乃琳 【突击】推鸣潮1.1主线！.xml,【突击】推鸣潮1,1765432481290,2025-12-11 13:54,5696,1918,17854,0.3367
xml::2025.12.12 乃琳 【突击】先看TGA然后鸣潮1.3！.xml,【突击】先看TGA然后鸣潮1,1765500769578,2025-12-12 08:52,3604,1107,21458,0.3072
xml::2025.12.13 乃琳 【突击】鸣潮过椿的伴星任务！.xml,【突击】鸣潮过椿的伴星任务！,1765641305825,2025-12-13 23:55,2462,845,23920,0.3432
xml::2025.12.16 乃琳 【突击】继续鸣潮2.0！.xml,【突击】继续鸣潮2,1765878746292,2025-12-16 17:52,2887,1001,26807,0.3467
xml::2025.12.18 乃琳 【鸣潮突击】过珂莱塔伴星！.xml,【鸣潮突击】过珂莱塔伴星！,1766067050728,2025-12-18 22:10,1580,473,28387,0.2994
xml::2025.12.21 乃琳 【突击】鸣潮2.2！.xml,【突击】鸣潮2,1766307289351,2025-12-21 16:54,5740,1234,34127,0.215
xml::2025.12.23 乃琳 【鸣潮突击】过夏空活动！.xml,【鸣潮突击】过夏空活动！,1766483771843,2025-12-23 17:56,1608,429,35735,0.2668
xml::2025.12.25 乃琳 鸣潮！来抽琳奈！.xml,【3D】鸣潮！来抽琳奈！,1766667726031,2025-12-25 21:02,1264,284,36999,0.2247
xml::2025.12.26 乃琳 【突击】鸣潮！坎特蕾拉伴星！.xml,【突击】鸣潮！坎特蕾拉伴星！,1766744816058,2025-12-26 18:26,728,198,37727,0.272
xml::2025.12.28 乃琳 【突击】鸣潮2.4！.xml,【突击】鸣潮2,1766912445551,2025-12-28 17:00,3236,747,40963,0.2308
xml::2026.01.01 乃琳 【突击】鸣潮今州杯S9嘉宾赛.xml,【突击】鸣潮今州杯S9嘉宾赛,1767268630034,2026-01-01 19:57,926,233,41889,0.2516
xml::2026.01.03 乃琳 【突击】鸣潮2.5主线！.xml,【突击】鸣潮2,1767430287719,2026-01-03 16:51,7750,1202,49639,0.1551
xml::2026.01.07 乃琳 【突击】一起来看鸣潮二创！.xml,【突击】一起来看鸣潮二创！,1767757994784,2026-01-07 11:53,1544,315,51183,0.204
xml::2026.01.09 乃琳 【突击】鸣潮2.6主线上半！.xml,乃琳 【突击】鸣潮2.6主线上半！,1767938030208,2026-01-09 13:53,2346,398,53529,0.1697
xml::2026.01.15 乃琳 【突击】鸣潮赞妮伴星！.xml,【突击】鸣潮赞妮伴星！,1768463756682,2026-01-15 15:55,679,187,54208,0.2754
xml::2026.01.18 乃琳 【突击】一口气打完鸣潮2.7！.xml,乃琳 【突击】一口气打完鸣潮2.7！,1768715404632,2026-01-18 13:50,4730,603,58938,0.1275
xml::2026.01.23 乃琳 【突击】一起来看鸣潮3.1前瞻！.xml,【突击】一起来看鸣潮3,1769165354434,2026-01-23 18:49,744,91,59682,0.1223
9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,1664,204,61346,0.1226
062170d1-834e-41db-ae62-4266ac3c4684,乃琳_鸣潮_0130,1769745306000,2026-01-30 11:55,820,126,62166,0.1537
fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,962,154,63128,0.1601
71f176dd-55fc-4046-bebb-82f593ddbdab,乃琳_鸣潮3.0下半,1769936061000,2026-02-01 16:54,736,98,63864,0.1332
ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,503,49,64367,0.0974
777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,831,66,65198,0.0794
32d14305-7ef3-4b90-b261-8d68e754b6b3,乃琳_鸣潮_0211,1770803359000,2026-02-11 17:49,5505,582,70703,0.1057
7b8b5196-322b-4e96-9492-429c18641473,乃琳_鸣潮_0225,1772000601000,2026-02-25 14:23,806,65,71509,0.0806
006b6b9d-4773-40f5-8c21-a011a37df047,乃琳_鸣潮_0227,1772164430000,2026-02-27 11:53,796,24,72305,0.0302
f88aed7e-ef89-45a7-b93e-25e072d59696,乃琳_鸣潮_0301,1772337055000,2026-03-01 11:50,1320,6,73625,0.0045
004b7e2d-b10a-4987-92b0-e47275722fe3,乃琳_鸣潮_0306,1772786993000,2026-03-06 16:49,319,0,73944,0.0
c69260b9-e487-4ea1-a654-3bb17336ad07,乃琳_鸣潮_0311,1773201223000,2026-03-11 11:53,339,0,74283,0.0
