uid,uname,first_seen_text,first_seen_live,last_pre_return_text,last_pre_return_live,first_post_return_text,first_post_return_live,source_first_text,source_present_count,source_active_count,as_present_count_after_source,as_active_count_after_source,is_source_pure_new,is_510_return,is_broad_return_exclusive,is_core_ge3,is_core_ge5,is_core_ge7
100228093,石见水青,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,16,14,17,14,1,0,0,1,1,1
100387643,时光故人恋恋难,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,23,23,35,31,1,0,0,1,1,1
1004429367,_空海_,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,6,5,6,5,1,0,0,1,1,0
100457650,Uskou雨岩,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,17,11,19,11,1,0,0,1,1,1
100811428,P10M,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,11,9,13,10,1,0,0,1,1,1
1008771202,未鸣之潮,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,4,4,6,6,1,0,0,1,1,0
10099493,无尽五月,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,12,8,22,15,1,0,0,1,1,1
10107964,纳西妲我超爱,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,19,14,54,40,1,0,0,1,1,1
101678268,小楼一夜聽春雨丶,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,30,29,57,49,1,0,0,1,1,1
1018335987,静在等雨落,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,10,7,17,12,1,0,0,1,1,1
1019172831,於菟オトooo,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,18,16,58,48,1,0,0,1,1,1
102076113,孤陌成影,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,15,12,30,24,1,0,0,1,1,1
1021037494,starry凉沐,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,16,15,30,27,1,0,0,1,1,1
102448146,及时雨-宋姜,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,26,24,91,75,1,0,0,1,1,1
102634053,小小无瑕,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,10,8,11,8,1,0,0,1,1,1
102726331,载羽烬明,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,27,25,54,47,1,0,0,1,1,1
1028097581,renqaq___,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,22,22,54,50,1,0,0,1,1,1
102828650,肆守i,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,21,19,45,35,1,0,0,1,1,1
1029391920,琳奈的摩托,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,26,22,36,29,1,0,0,1,1,1
103278299,扇口组3号选手,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,23,18,30,24,1,0,0,1,1,1
1034201127,丹瑾如玉剑如虹,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,17,15,49,39,1,0,0,1,1,1
1037211705,弗糯糯QAQ,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,7,5,13,6,1,0,0,1,1,0
10401015,伊角,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,25,21,62,49,1,0,0,1,1,1
104229047,脖子噎出二里地,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,13,10,16,11,1,0,0,1,1,1
10431485,东云十六夜,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,13,13,18,17,1,0,0,1,1,1
10445745,Feizilol,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,15,13,21,19,1,0,0,1,1,1
104532930,这里那里还有里,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,12,10,19,14,1,0,0,1,1,1
104861947,酒赋轻尘,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,15,10,21,16,1,0,0,1,1,1
104976342,保持童真哦丶,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,4,3,8,7,1,0,0,1,1,1
105360461,poor天荒,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,22,19,25,20,1,0,0,1,1,1
10570790,葵矢枢,2025-12-09 13:55,乃琳_鸣潮,,,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,10,7,18,13,1,0,0,1,1,1
