uid,uname,first_seen_text,first_seen_live,last_pre_return_text,last_pre_return_live,first_post_return_text,first_post_return_live,source_first_text,source_present_count,source_active_count,as_present_count_after_source,as_active_count_after_source,is_source_pure_new,is_510_return,is_broad_return_exclusive,is_core_ge3,is_core_ge5,is_core_ge7
100918751,,2022-02-04 19:50,乃琳_3D,2022-03-25 19:50,嘉然_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,15,14,20,19,0,1,0,0,0,0
101243832,,2022-03-18 19:50,贝拉_3D,2022-03-18 19:50,贝拉_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,5,2,6,2,0,1,0,0,0,0
102340462,,2022-02-26 19:50,贝拉_3D,2022-05-07 19:50,贝拉_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,21,17,37,27,0,1,0,0,0,0
103163871,,2022-04-14 18:42,珈乐_3D,2022-05-11 19:50,珈乐_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,5,4,8,6,0,1,0,0,0,0
10351363,,2022-02-04 19:50,乃琳_3D,2022-02-04 19:50,乃琳_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,13,9,21,11,0,1,0,0,0,0
105007592,,2022-02-26 19:50,贝拉_3D,2022-04-13 19:49,嘉然_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,18,14,51,38,0,1,0,0,0,0
10532201,,2022-03-10 18:40,贝拉_3D,2022-06-01 21:01,嘉然_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,16,11,20,14,0,1,0,0,0,0
10982351,,2022-03-10 18:40,贝拉_3D,2022-05-07 19:50,贝拉_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,4,1,6,1,0,1,0,0,0,0
11020381,,2022-03-26 19:50,乃琳_3D,2022-03-26 19:50,乃琳_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,1,1,1,1,0,1,0,0,0,0
11025183,,2022-03-10 18:40,贝拉_3D,2022-04-14 18:42,珈乐_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,1,0,1,0,0,1,0,0,0,0
11358109,,2022-02-26 19:50,贝拉_3D,2022-05-20 19:45,未知_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,1,1,1,1,0,1,0,0,0,0
11374571,,2022-03-27 19:50,嘉然_3D,2022-05-20 19:45,未知_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,9,4,11,5,0,1,0,0,0,0
11378104,,2022-03-10 18:40,贝拉_3D,2022-03-27 19:50,嘉然_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,2,2,2,2,0,1,0,0,0,0
11507798,,2022-02-04 19:50,乃琳_3D,2022-05-07 19:50,贝拉_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,13,9,22,16,0,1,0,0,0,0
11550346,,2022-03-26 19:50,乃琳_3D,2022-03-26 19:50,乃琳_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,6,3,8,5,0,1,0,0,0,0
11560884,,2022-03-31 19:53,嘉然_3D,2022-04-23 19:51,珈乐_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,10,9,25,12,0,1,0,0,0,0
11594114,,2022-03-18 19:50,贝拉_3D,2022-03-18 19:50,贝拉_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,3,1,26,16,0,1,0,0,0,0
11597931,,2022-04-13 19:49,嘉然_3D,2022-04-13 19:49,嘉然_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,14,11,22,14,0,1,0,0,0,0
11638373,,2022-02-04 19:50,乃琳_3D,2022-02-04 19:50,乃琳_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,3,2,3,2,0,1,0,0,0,0
