uid,uname,first_seen_text,first_seen_live,last_pre_return_text,last_pre_return_live,first_post_return_text,first_post_return_live,source_first_text,source_present_count,source_active_count,as_present_count_after_source,as_active_count_after_source,is_source_pure_new,is_510_return,is_broad_return_exclusive,is_core_ge3,is_core_ge5,is_core_ge7
10034871,,2022-02-04 19:50,乃琳_3D,2025-05-28 20:50,嘉然_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,17,15,27,24,0,0,1,0,0,0
10065045,,2022-02-04 19:50,乃琳_3D,2024-08-30 19:51,贝拉_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,17,15,22,19,0,0,1,0,0,0
100869,,2022-03-27 19:50,嘉然_3D,2024-10-17 19:29,乃琳_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,2,2,3,3,0,0,1,0,0,0
1024448194,米娅卿,2025-04-26 00:25,嘉然_其他,2025-04-26 00:25,嘉然_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,13,11,17,13,0,0,1,0,0,0
102529429,,2022-03-18 19:50,贝拉_3D,2023-01-05 19:50,向晚_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,6,5,23,20,0,0,1,0,0,0
10271996,咸鱼王hj,2024-08-24 10:50,嘉然_黑神话,2024-08-24 10:50,嘉然_黑神话,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,4,2,4,2,0,0,1,0,0,0
102852429,,2022-02-04 19:50,乃琳_3D,2023-03-25 20:50,嘉然_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,27,25,74,65,0,0,1,0,0,0
1029541651,know-c,2024-06-01 19:50,嘉然_团播,2025-04-26 00:25,嘉然_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,14,8,17,8,0,0,1,0,0,0
103670631,Runaway0216,2022-08-31 19:50,贝拉_3D,2022-12-11 19:50,嘉然_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,15,14,17,15,0,0,1,0,0,0
1048127222,抓星星泡饭捏,2024-08-24 10:50,嘉然_黑神话,2024-08-24 10:50,嘉然_黑神话,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,9,8,13,11,0,0,1,0,0,0
105539617,,2022-02-04 19:50,乃琳_3D,2023-04-27 20:52,贝拉_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,3,2,3,2,0,0,1,0,0,0
10580781,,2022-02-04 19:50,乃琳_3D,2023-06-07 20:50,嘉然_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,12,12,14,14,0,0,1,0,0,0
10616757,この雞喔だ,2022-08-25 21:00,向晚_其他,2023-11-10 19:50,贝拉_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,2,0,3,0,0,0,1,0,0,0
106309891,鹅溪水鸭,2024-08-24 10:50,嘉然_黑神话,2024-08-24 10:50,嘉然_黑神话,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,3,2,4,2,0,0,1,0,0,0
10682454,我有1个和尚朋友,2024-08-24 10:50,嘉然_黑神话,2024-09-01 11:00,嘉然_黑神话,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,19,19,25,24,0,0,1,0,0,0
10702430,,2022-03-10 18:40,贝拉_3D,2022-08-25 21:00,向晚_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,2,1,2,1,0,0,1,0,0,0
10742102,,2022-04-08 19:50,嘉然_3D,2023-03-25 20:50,嘉然_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,5,1,6,1,0,0,1,0,0,0
108052852,,2022-02-04 19:50,乃琳_3D,2023-05-02 19:50,贝拉_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,6,5,12,11,0,0,1,0,0,0
10814654,乔尼-齐贝林-,2022-12-11 19:50,嘉然_团播,2024-08-24 10:50,嘉然_黑神话,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,15,10,23,15,0,0,1,0,0,0
108687705,繁花落成殇灬,2023-01-01 19:50,贝拉_团播,2023-01-01 19:50,贝拉_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,1,1,2,2,0,0,1,0,0,0
109197693,bili_427549646,2023-05-02 19:50,贝拉_团播,2025-05-28 20:50,嘉然_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,7,6,13,10,0,0,1,0,0,0
10944172,时_绮,2024-05-09 20:52,乃琳_3D,2024-06-12 19:22,乃琳_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,4,4,5,5,0,0,1,0,0,0
11050536,没脸没人,2022-06-01 21:01,嘉然_其他,2023-01-01 19:50,贝拉_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,2,2,2,2,0,0,1,0,0,0
11072631,,2022-03-18 19:50,贝拉_3D,2024-09-04 20:58,乃琳_3D,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,14,11,22,14,0,0,1,0,0,0
110728792,望见月,2022-08-31 19:50,贝拉_3D,2024-12-07 12:03,贝拉_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,15,8,27,17,0,0,1,0,0,0
1109990,,2022-02-04 19:50,乃琳_3D,2022-12-11 19:50,嘉然_团播,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,6,4,6,4,0,0,1,0,0,0
11267052,,2022-05-11 19:50,珈乐_团播,2024-12-07 12:03,贝拉_其他,2025-12-09 13:55,乃琳_鸣潮,2025-12-09 13:55,9,7,9,7,0,0,1,0,0,0
