uid,uname,category,guard_event_count,guard_count_sum,max_level,is_blacklist,is_510_return,is_broad_return_exclusive,is_window_new,first_seen_text,last_pre_return_text,as_active_count_after_source
14232232,Kimxxeric,kg,3,3,3,0,0,0,1,2025-12-10 14:55,,37
100873340,然然今晚摘月亮,黑名单长期观众,2,2,3,1,0,0,0,,,0
108636360,热心网友103,510回旋,2,2,3,0,1,0,0,2022-03-27 19:50,2022-03-27 19:50,20
11471579,香草星光熠熠,黑名单长期观众,2,2,3,1,0,0,0,,,0
158554500,雪裡已知春信至,kg,2,2,3,0,0,0,1,2026-01-16 11:54,,14
1605210156,嘉然今天学分布式系统,黑名单长期观众,2,2,3,1,0,0,0,,,0
1738765,幸运的钢板,kg,2,2,3,0,0,0,1,2025-12-15 21:00,,6
177522,朱雀之南明离火,黑名单长期观众,2,2,3,1,0,0,0,,,0
19810744,Nanoic,kg,2,2,3,0,0,0,1,2026-01-09 13:53,,19
25293327,你好会啊69,kg,2,2,3,0,0,0,1,2025-12-28 17:00,,27
27784301,舊巷裡的少年郎,广义回旋,2,2,3,0,0,1,0,2022-03-26 19:50,2022-12-11 19:50,0
340226569,貝極心,510回旋,2,2,3,0,1,0,0,2022-05-20 19:45,2022-05-20 19:45,46
351892799,新兰永恒yiz,黑名单长期观众,2,2,3,1,0,0,0,,,0
3546954478913813,奶焙夹心糖,kg,2,2,3,0,0,0,1,,,0
372318244,小鳥のお菓子,kg,2,2,3,0,0,0,1,2026-03-01 16:50,,0
383688763,糖心嘉然,黑名单长期观众,2,2,3,1,0,0,0,,,0
384012662,酒而酒之_,kg,2,2,3,0,0,0,1,2025-12-13 23:55,,89
39153568,双马尾钻头,黑名单长期观众,2,2,3,1,0,0,0,,,0
430242443,病娇给我一刀,kg,2,2,3,0,0,0,1,2025-12-28 17:00,,14
454364643,variable_Z,黑名单长期观众,2,2,3,1,0,0,0,,,0
477930207,月见星汐zur,kg,2,2,3,0,0,0,1,2025-12-21 16:54,,50
59470809,今天我超酷的,kg,2,2,3,0,0,0,1,2025-12-15 21:00,,84
5977358,共鸣星之语,黑名单长期观众,2,2,3,1,0,0,0,,,0
7162303,无泪自殇,kg,2,2,3,0,0,0,0,2022-02-04 19:50,2023-03-25 20:50,0
8202239,请假8小时01分,黑名单长期观众,2,2,3,1,0,0,0,,,0
1000329431,嵩托草枪,黑名单长期观众,1,1,3,1,0,0,0,,,0
100035374,_糯米糍粑麻糬_,黑名单长期观众,1,1,3,1,0,0,0,,,0
10006434,千夏Thaumiel,510回旋,1,1,3,0,1,0,0,2022-04-27 18:40,2022-05-11 19:50,0
10006737,zdmsg,kg,1,1,3,0,0,0,1,,,0
10014634,大头胖胖羊,kg,1,1,3,0,0,0,1,2026-02-06 11:51,,0
100157283,糯早大魔王,黑名单长期观众,1,1,3,1,0,0,0,,,0
100188168,王小明p,kg,1,1,3,0,0,0,1,,,0
10019623,_忍野忍_,kg,1,1,3,0,0,0,1,2026-03-03 19:50,,0
1002663422,塔奇不克玛,黑名单长期观众,1,1,3,1,0,0,0,,,0
10027984,基尔伯特丶伊芙嘉登,黑名单长期观众,1,1,3,1,0,0,0,,,0
10034871,云の鯨,广义回旋,1,1,3,0,0,1,0,2022-02-04 19:50,2025-05-28 20:50,24
10037269,锁楼锁宅锁西门,kg,1,1,3,0,0,0,1,2026-01-15 20:51,,0
100376793,n70今天也没钱,黑名单长期观众,1,1,3,1,0,0,0,,,0
100384147,小莫alter,kg,1,1,3,0,0,0,1,2026-01-08 20:50,,0
100393360,-嘉然可爱捏,kg,1,1,3,0,0,0,0,2024-09-01 11:00,2024-09-01 11:00,0
100420053,也许是个奶淇琳,黑名单长期观众,1,1,3,1,0,0,0,,,0
10044859,Samarium今天吃什么,广义回旋,1,1,3,0,0,1,0,2022-04-22 19:50,2022-12-11 19:50,0
100449302,白诺子哈哈,黑名单长期观众,1,1,3,1,0,0,0,,,0
100456524,何家幹,黑名单长期观众,1,1,3,1,0,0,0,,,0
100459603,一长串字符,kg,1,1,3,0,0,0,0,2022-03-31 18:40,2022-03-31 19:53,0
100490188,噗尼掉下来,510回旋,1,1,3,0,1,0,0,2022-02-04 19:50,2022-04-22 19:50,0
100490503,望乡余,510回旋,1,1,2,0,1,0,0,2022-03-27 19:50,2022-05-11 19:50,0
10050975,纳纳鼠,广义回旋,1,1,3,0,0,1,0,2022-08-26 19:50,2024-08-24 10:50,0
10051802,来自夜航星,kg,1,1,3,0,0,0,0,2022-10-28 19:51,2022-10-28 19:51,0
100523873,rainantier,黑名单长期观众,1,1,3,1,0,0,0,,,0
100532293,不灭owo,黑名单长期观众,1,1,3,1,0,0,0,,,0
10053592,酥饼不好恰,kg,1,1,3,0,0,0,1,2025-12-25 21:02,,8
1005629375,绝了呵呵呵,kg,1,1,3,0,0,0,1,2026-03-06 11:52,,0
100563908,你说谁是拉露恩,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,1
1005699080,幻风200,黑名单长期观众,1,1,3,1,0,0,0,,,0
100611041,小C仙尊,黑名单长期观众,1,1,3,1,0,0,0,,,0
1006598372,天之回响u,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,71
100694286,紫薯味布丁,kg,1,1,3,0,0,0,1,2026-02-26 14:25,,0
1007042669,幻海云镜,kg,1,1,3,0,0,0,1,2026-01-18 13:50,,1
10070735,一只马户,kg,1,1,3,0,0,0,1,,,0
100710293,夜见之瞳丶,kg,1,1,3,0,0,0,0,2022-02-04 19:50,2022-04-29 19:50,0
100712567,碧雨梨花,黑名单长期观众,1,1,3,1,0,0,0,,,0
10073475,孤辰kira,广义回旋,1,1,3,0,0,1,0,2023-02-22 19:50,2023-02-22 19:50,1
10074431,mztkv,kg,1,1,3,0,0,0,1,2025-12-17 17:56,,77
10076976,迷途枫,kg,1,1,3,0,0,0,1,2025-12-10 19:20,,111
10077121,分难发难解,kg,1,1,3,0,0,0,1,,,0
100771748,通途游,kg,1,1,3,0,0,0,1,,,0
10077603,桃濑弥月家今天的饭,kg,1,1,3,0,0,0,1,2025-12-20 19:50,,0
100806276,TEMPESTzZ,kg,1,1,3,0,0,0,1,2026-02-23 13:57,,4
10081759,学生会长天爱星,kg,1,1,3,0,0,0,0,2022-04-22 19:50,2024-01-24 20:59,0
100845395,物神麦克斯韦,黑名单长期观众,1,1,3,1,0,0,0,,,0
10085564,屋顶上的疯子,黑名单长期观众,1,1,3,1,0,0,0,,,0
10087046,恐怖五角星怪兽,黑名单长期观众,1,1,3,1,0,0,0,,,0
100876232,回家的路上小心,510回旋,1,1,3,0,1,0,0,2022-03-10 18:40,2022-06-01 21:01,0
1008769087,bili_11145983363,kg,1,1,3,0,0,0,1,,,0
10094222,神圣献祭-,广义回旋,1,1,3,0,0,1,0,2022-05-07 19:50,2022-12-11 19:50,3
100990262,冷凝绝丶,kg,1,1,3,0,0,0,0,2022-02-26 19:50,2022-12-11 19:50,0
100993868,檀青寺,kg,1,1,3,0,0,0,1,2026-02-14 21:05,,0
10099493,无尽五月,kg,1,1,3,0,0,0,1,2025-12-09 13:55,,15
10100478,三无的哔哩哔哩酱,黑名单长期观众,1,1,3,1,0,0,0,,,0
101134765,雁断天月,黑名单长期观众,1,1,3,1,0,0,0,,,0
101159155,莫羽青,黑名单长期观众,1,1,3,1,0,0,0,,,0
10118553,心宜今天偷什么,广义回旋,1,1,3,0,0,1,0,2025-03-31 19:51,2025-05-03 19:50,0
101204311,地脉花,510回旋,1,1,3,0,1,0,0,2022-03-25 19:50,2022-03-25 19:50,2
101240817,夜魇霜华,kg,1,1,3,0,0,0,1,,,0
101277895,暮雪河,黑名单长期观众,1,1,3,1,0,0,0,,,0
101283268,Ka苏米,黑名单长期观众,1,1,3,1,0,0,0,,,0
1012877176,AC娘Channel,黑名单长期观众,1,1,3,1,0,0,0,,,0
10132239,超级大烧饼1,kg,1,1,3,0,0,0,1,2025-12-26 18:26,,3
10133117,原地等待的白矛,黑名单长期观众,1,1,3,1,0,0,0,,,0
101352528,TNt1oN,kg,1,1,3,0,0,0,0,2022-03-27 19:50,2022-03-27 19:50,0
101354714,湊友希那丿,kg,1,1,3,0,0,0,1,2025-12-10 14:55,,45
101370877,名字太长已被屏蔽,kg,1,1,3,0,0,0,1,2026-02-14 19:57,,0
10149740,乐乐今天吃什么,kg,1,1,3,0,0,0,1,2025-12-23 17:56,,7
10158886,unpluto,kg,1,1,3,0,0,0,1,,,0
10162321,溏-柒-柒,kg,1,1,3,0,0,0,1,2026-01-18 13:50,,0
101673684,未见霞辉如念初,黑名单长期观众,1,1,3,1,0,0,0,,,0
101677250,晚上吃什么捏QAQ,kg,1,1,3,0,0,0,1,,,0
1017072156,Oceeart,广义回旋,1,1,3,0,0,1,0,2022-12-11 19:50,2025-04-23 19:22,0
101745088,ZD0202,kg,1,1,3,0,0,0,1,,,0
1019172831,於菟オトooo,kg,1,1,3,0,0,0,1,2025-12-09 13:55,,48
10196921,有点方的疋月,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,5
101975474,贫道丿小明,黑名单长期观众,1,1,3,1,0,0,0,,,0
1019964158,1031115,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,60
102027460,玖拾丶z,kg,1,1,3,0,0,0,1,,,0
102048420,已北酱,kg,1,1,3,0,0,0,1,2026-01-03 16:51,,6
10212698,花宫倾,kg,1,1,3,0,0,0,1,2026-02-11 17:49,,1
102143594,锖--兔--,kg,1,1,3,0,0,0,1,2026-02-11 17:49,,1
102174,ffggyju1,kg,1,1,3,0,0,0,1,,,0
102278303,大爱邓肯,kg,1,1,3,0,0,0,0,2022-06-01 21:01,2022-06-01 21:01,0
102285370,充气大胖,黑名单长期观众,1,1,3,1,0,0,0,,,0
102287224,五子棋又,kg,1,1,3,0,0,0,1,2026-01-08 20:50,,1
102324746,那微笑很甜,黑名单长期观众,1,1,3,1,0,0,0,,,0
102333503,贝拉兔的休眠日志,kg,1,1,3,0,0,0,1,2026-01-16 19:50,,26
102370816,Acrystals,黑名单长期观众,1,1,3,1,0,0,0,,,0
1024118074,万苍Cancer,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,20
102417158,寻觅光芒的贝极星,黑名单长期观众,1,1,3,1,0,0,0,,,0
10242426,易凝雪_OCproject,kg,1,1,3,0,0,0,1,2025-12-28 17:00,,9
102448337,dpdg,kg,1,1,3,0,0,0,0,2024-08-24 10:50,2025-04-05 22:22,0
102495349,超级琳嘉,kg,1,1,3,0,0,0,1,2026-01-29 11:54,,3
1025115455,一心噫噫,kg,1,1,3,0,0,0,1,2026-02-14 19:57,,21
10253649,ss今天吃瑞士卷,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,51
102558941,8巴1,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,3
10256862,_yellowsubmarine,黑名单长期观众,1,1,3,1,0,0,0,,,0
102581590,樱落sakira,黑名单长期观众,1,1,3,1,0,0,0,,,0
1026105571,幸運の風,kg,1,1,3,0,0,0,1,2026-01-01 19:57,,41
102644401,顶碗鼠条,510回旋,1,1,3,0,1,0,0,2022-02-26 19:50,2022-02-26 19:50,0
102650706,LAzYa-a,kg,1,1,3,0,0,0,1,2026-01-30 11:55,,8
102658126,Requiem丶Q,kg,1,1,3,0,0,0,1,2026-01-08 20:50,,57
10265855,Giaapon,kg,1,1,3,0,0,0,1,2025-12-18 22:10,,9
102697245,Un1corNNNNNNN,kg,1,1,3,0,0,0,1,,,0
1026989619,百川水mkii,kg,1,1,3,0,0,0,1,2025-12-16 17:52,,59
10270421,夕辰__,黑名单长期观众,1,1,3,1,0,0,0,,,0
102717339,heilii-,黑名单长期观众,1,1,3,1,0,0,0,,,0
102742067,逝水无痕windy,黑名单长期观众,1,1,3,1,0,0,0,,,0
1027625943,溪掣堰,kg,1,1,3,0,0,0,1,2025-12-18 22:10,,4
