uid,uname,host,live_type,sample_folder,live_name,live_id,room_id,channel_name,live_title,start_date,stop_date,danmu_count,gift_count,gift_amount,first_send_date,last_send_date,is_present,is_active
56327114,聆雪听风,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,1702,6,0.6,1769331575376,1769349363264,1,1
2858225,嘿肥皂君,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,1573,0,0.0,1769331871129,1769349378963,1,1
603338211,清蒸香子兰,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,1572,0,0.0,1769331704580,1769349204610,1,1
181847545,宫城式叶月,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,1434,0,0.0,1769339436520,1769349426506,1,1
12819957,怪异客服天天迴龙教,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,1018,0,0.0,1769331401106,1769349207841,1,1
13580184,LieVice,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,834,0,0.0,1769331321490,1769349425609,1,1
341849898,款冬空青,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,778,0,0.0,1769331473687,1769349396484,1,1
7602755,xxiqw,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,702,0,0.0,1769331329114,1769349230283,1,1
267710,我还会变色呢,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,676,0,0.0,1769331488674,1769347257869,1,1
1757844405,Akie绘世,乃琳,鸣潮,乃琳鸣潮样本,乃琳_鸣潮2.8,9d713035-0892-47a0-9253-c0494d92062e,22625027,乃琳Queen,【突击】鸣潮2.8主线！,1769331185000,1769349430219,666,0,0.0,1769334602453,1769349129106,1,1
