uid,xml_count,danmu_count
303151,26,1160
259422,26,1061
2661552,26,1022
33998048,26,787
584221,26,694
19400882,26,689
1318097,26,627
17498181,26,306
35877025,25,1048
35080575,25,550
940628,25,434
11775347,25,356
10997659,25,284
258401,24,1029
5760408,24,938
36577686,24,610
98238883,24,580
28922339,24,578
20762021,24,569
28708677,24,567
2810632,24,538
89114533,24,460
13064242,24,423
88521562,24,397
296560,24,243
26284012,23,7566
5321590,23,1201
10252015,23,905
5122907,23,885
3486759,23,541
7663163,23,480
81030760,23,352
5911146,23,238
638999,23,197
179825,23,163
39665550,23,91
20932,23,76
44910708,23,75
32200881,22,1961
10956339,22,1300
10995767,22,1084
56525567,22,992
19890967,22,923
8075930,22,837
12133937,22,621
30246040,22,589
19161639,22,574
15475827,22,558
11172266,22,467
12356968,22,378
13061006,22,353
5265249,22,259
31122099,22,178
39499526,22,178
65675236,21,1557
16268539,21,406
12416994,21,394
8234826,21,376
1529145,21,341
32838304,21,313
178347,21,287
29287011,21,281
85591250,21,232
3994129,21,221
6069718,21,213
571956,21,203
21407619,21,185
3454092,21,130
61065295,21,119
19820222,21,99
403271,21,78
15405855,21,73
95586,20,1006
43223022,20,767
46287734,20,669
3874017,20,557
10721325,20,479
13167182,20,452
3286022,20,412
43814847,20,358
2907454,20,344
13711682,20,322
18209909,20,292
4099291,20,265
5614160,20,263
1918911,20,227
112279,20,165
39581301,20,142
29359506,20,132
33611607,20,132
34594505,20,103
284123,20,97
26085,20,95
30792990,20,85
8713036,20,72
8322468,19,1185
87954,19,575
16095993,19,547
28361195,19,414
3510653,19,241
548926,19,224
2789297,19,191
8033513,19,166
230973,19,114
93721603,19,78
11008001,19,70
29207699,19,65
30923078,19,57
1952236,19,42
14952842,18,1626
1955106,18,453
38944634,18,365
36333896,18,361
30431315,18,242
28263476,18,213
7322869,18,199
2725252,18,183
7783427,18,172
12763048,18,164
23548799,18,153
33692925,18,148
13223402,18,142
436132,18,137
8886776,18,126
89952811,18,121
50575,18,116
34540935,18,106
8780848,18,87
382666,18,72
45154891,18,72
10130565,17,929
22914232,17,716
89590752,17,260
25440280,17,161
20650724,17,153
32787117,17,153
10283338,17,152
9229792,17,146
10326241,17,143
12532666,17,122
380061,17,117
7410058,17,69
55810643,17,48
26787701,17,31
11938539,16,599
441718,16,535
15162268,16,477
88564238,16,419
50009539,16,353
1686129,16,214
3853484,16,198
49470739,16,177
16428604,16,175
60007827,16,168
21471621,16,153
4184587,16,145
207168,16,131
20251745,16,124
1299129,16,117
52501204,16,105
15435878,16,92
21675837,16,88
10087046,16,70
64707,16,66
1622611,16,42
5875787,16,24
3856427,15,710
9524212,15,408
37074606,15,384
28503,15,296
6618851,15,271
3760577,15,263
6820949,15,250
6221618,15,183
33211599,15,163
3414276,15,131
3958884,15,112
68000030,15,110
23064137,15,108
22282685,15,104
3217531,15,99
1531636,15,94
5746867,15,92
4616225,15,79
519773,15,76
66631077,15,56
8311335,15,55
12759097,15,51
4184924,15,51
30570,15,40
8320253,15,36
15764592,15,29
29054101,14,1421
1476078,14,479
12025196,14,451
16506261,14,368
7696844,14,268
22439477,14,241
1523800,14,205
11485349,14,184
751838,14,180
99239087,14,180
25336366,14,171
5972884,14,144
389621,14,116
2600116,14,108
69192610,14,107
8150226,14,107
19496009,14,82
85684590,14,81
14194566,14,77
183779,14,66
19485656,14,65
40672450,14,50
40359840,14,49
111809,14,34
1647240,14,29
80204361,13,307
43108581,13,195
5127152,13,162
13438226,13,160
3538000,13,134
85566549,13,93
9538201,13,90
22263869,13,77
33903319,13,68
3568209,13,63
25714746,13,62
8160539,13,61
111161,13,60
14720324,13,60
21480058,13,57
37176249,13,56
14190781,13,55
46662623,13,55
8310688,13,48
26023968,13,42
38968164,13,42
43927105,13,42
29509377,13,36
4662670,13,30
174390,13,25
10325491,13,24
51784147,12,5592
3856600,12,1329
33014440,12,833
11602705,12,587
62570916,12,359
573249,12,348
35481294,12,288
2305584,12,276
50051634,12,199
7539571,12,155
39683560,12,138
2034479,12,132
1439652,12,131
4443406,12,126
19560513,12,119
2862492,12,115
6722822,12,105
32355575,12,103
34871965,12,97
29527454,12,95
34605512,12,82
